No,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,追加
014b,深雪改,駆逐艦,30,49,89,51,79,49,59,42,12,0,高速,短,15,20,,編集
015a,叢雲,駆逐艦,15,19,79,29,69,39,49,19,10,0,高速,短,15,20,LV99,編集
015b,叢雲改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
016a,磯波,駆逐艦,15,19,79,29,69,39,49,19,10,0,高速,短,15,20,Lv99,編集
016b,磯波改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,LV99,編集
017a,綾波,駆逐艦,15,19,89,29,79,39,49,19,12,0,高速,短,15,20,Lv99,編集
017b,綾波改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,LV99,編集
018a,敷波,駆逐艦,15,19,79,29,69,39,49,19,10,0,高速,短,15,20,Lv99,編集
018b,敷波改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,LV99,編集
19,大井,軽巡洋艦,25,29,77,49,89,59,59,39,17,0,高速,中,25,25,Lv99,編集
20,北上,軽巡洋艦,25,29,69,39,79,49,59,39,15,0,高速,中,25,25,Lv99,編集
No.▲▼,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,編集
021a,金剛,戦艦,63,69,59,89,0,69,0,39,12,9,高速,長,80,110,Lv99,編集
021b,金剛改,戦艦,75,89,69,94,0,79,0,49,12,12,高速,長,90,120,Lv99,編集
022a,比叡,戦艦,63,69,59,89,0,69,0,39,10,9,高速,長,80,110,Lv99,編集
022b,比叡改,戦艦,75,89,69,94,0,79,0,49,12,12,高速,長,90,120,LV99,編集
023a,榛名,戦艦,63,69,59,89,0,69,0,39,15,9,高速,長,80,110,Lv99,編集
023b,榛名改,戦艦,75,89,69,94,0,79,0,49,20,12,高速,長,90,120,Lv99,編集
024a,霧島,戦艦,63,69,59,89,0,69,0,39,10,9,高速,長,80,110,Lv99,編集
024b,霧島改,戦艦,75,89,69,94,0,79,0,49,12,12,高速,長,90,120,Lv99,編集
025a,鳳翔,軽空母,30,39,39,19,0,29,0,36,20,19,低速,短,25,25,,編集
025b,鳳翔改,軽空母,40,49,59,29,0,39,0,79,30,42,低速,短,30,30,Lv99,編集
026a,扶桑,戦艦,67,79,39,94,0,79,0,33,5,12,低速,長,85,120,Lv99,編集
026b,扶桑改,航空戦艦,75,89,67,79,0,89,0,49,10,40,低速,長,95,105,Lv99,編集
027a,山城,戦艦,67,79,39,94,0,79,0,33,5,12,低速,長,85,120,Lv99,編集
027b,山城改,航空戦艦,75,89,67,79,0,89,0,49,10,40,低速,長,95,105,Lv99,編集
028a,天龍,軽巡洋艦,23,29,69,39,59,39,59,19,17,0,高速,中,25,20,Lv99,編集
028b,天龍改,軽巡洋艦,40,59,79,59,79,49,69,49,12,0,高速,中,25,25,Lv99,編集
029a,龍田,軽巡洋艦,23,29,69,39,59,39,59,19,17,0,高速,中,25,20,Lv99,編集
029b,龍田改,軽巡洋艦,40,59,79,59,79,49,69,49,12,0,高速,中,25,25,Lv99,編集
030a,龍驤,軽空母,31,39,44,19,0,29,0,69,10,38,高速,短,35,35,Lv99,編集
030b,龍驤改,軽空母,45,59,59,29,0,39,0,79,12,43,高速,短,40,40,Lv99,編集
031a,睦月,駆逐艦,13,18,79,29,59,29,39,17,12,0,高速,短,15,15,,編集
031b,睦月改,駆逐艦,24,39,89,39,69,39,59,39,12,0,高速,短,15,15,LV99,編集
032a,如月,駆逐艦,13,18,69,29,49,29,39,17,10,0,高速,短,15,15,,編集
032b,如月改,駆逐艦,24,39,89,39,69,39,59,39,12,0,高速,短,15,15,Lv99,編集
033a,皐月,駆逐艦,13,18,69,29,49,29,39,17,10,0,高速,短,15,15,Lv99,編集
033b,皐月改,駆逐艦,24,39,89,39,69,39,59,39,12,0,高速,短,15,15,Lv99,編集
034a,文月,駆逐艦,13,18,69,29,49,29,39,17,10,0,高速,短,15,15,,編集
034b,文月改,駆逐艦,24,39,89,39,69,39,59,39,12,0,高速,短,15,15,LV99,編集
035a,長月,駆逐艦,13,18,69,29,49,29,39,17,15,0,高速,短,15,15,,編集
035b,長月改,駆逐艦,24,39,89,39,69,39,59,39,20,0,高速,短,15,15,Lv99,編集
036a,菊月,駆逐艦,13,18,69,29,49,29,39,17,10,0,高速,短,15,15,,編集
036b,菊月改,駆逐艦,24,39,89,39,69,39,59,39,12,0,高速,短,15,15,LV99,編集
037a,三日月,駆逐艦,13,18,69,29,49,29,39,17,10,0,高速,短,15,15,,編集
037b,三日月改,駆逐艦,24,39,89,39,69,39,59,39,12,0,高速,短,15,15,LV99,編集
038a,望月,駆逐艦,13,18,69,29,49,29,39,17,10,0,高速,短,15,15,,編集
038b,望月改,駆逐艦,24,39,89,39,69,39,59,39,12,0,高速,短,15,15,LV99,編集
039a,球磨,軽巡洋艦,25,29,79,49,89,59,59,39,12,2,高速,中,25,25,Lv99,編集
039b,球磨改,軽巡洋艦,42,69,79,69,89,69,79,49,12,3,高速,中,25,30,Lv99,編集
040a,多摩,軽巡洋艦,25,29,69,39,79,49,59,39,10,2,高速,中,25,25,Lv99,編集
040b,多摩改,軽巡洋艦,42,59,79,59,79,59,79,49,12,3,高速,中,25,30,Lv99,編集
No.▲▼,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,編集
041a,木曾,軽巡洋艦,25,29,69,39,79,49,59,39,10,2,高速,中,25,25,,編集
041b,木曾改,軽巡洋艦,42,59,79,59,79,59,79,49,12,3,高速,中,25,30,Lv99,編集
042a,長良,軽巡洋艦,26,29,79,49,89,59,59,39,12,2,高速,中,25,25,,編集
042b,長良改,軽巡洋艦,43,69,79,69,89,69,79,49,12,3,高速,中,25,30,Lv99,編集
043a,五十鈴,軽巡洋艦,26,29,69,39,79,49,79,39,10,2,高速,中,25,25,,編集
043b,五十鈴改,軽巡洋艦,37,59,79,59,79,59,79,49,12,3,高速,中,25,30,Lv99,編集
044a,名取,軽巡洋艦,26,29,69,39,79,49,59,39,10,2,高速,中,25,25,,編集
044b,名取改,軽巡洋艦,43,59,79,69,89,59,79,49,12,3,高速,中,25,30,Lv99,編集
045a,由良,軽巡洋艦,26,29,69,39,79,49,79,39,10,2,高速,中,25,25,,編集
045b,由良改,軽巡洋艦,43,59,79,59,79,59,79,49,12,3,高速,中,25,30,Lv99,編集
046a,川内,軽巡洋艦,26,29,79,49,89,59,69,39,12,2,高速,中,25,25,,編集
046b,川内改,軽巡洋艦,44,69,79,59,79,69,79,49,12,3,高速,中,25,30,Lv99,編集
047a,神通,軽巡洋艦,26,29,69,39,79,49,69,39,10,2,高速,中,25,25,,編集
047b,神通改,軽巡洋艦,44,59,79,59,79,59,79,49,12,3,高速,中,25,30,Lv99,編集
048a,那珂,軽巡洋艦,26,29,69,39,79,49,69,39,10,2,高速,中,25,25,,編集
048b,那珂改,軽巡洋艦,44,59,79,59,79,59,79,49,12,3,高速,中,25,30,LV99,編集
49,千歳,水上機母艦,40,39,39,29,0,9,0,69,10,24,高速,短,35,35,,編集
50,千代田,水上機母艦,40,39,39,29,0,9,0,69,10,24,高速,短,35,35,,編集
51,最上,重巡洋艦,41,59,69,59,69,59,0,39,10,6,高速,中,40,65,Lv99,編集
052a,古鷹,重巡洋艦,36,34,69,54,59,59,0,39,10,6,高速,中,35,50,Lv99,編集
052b,古鷹改,重巡洋艦,48,70,75,70,59,59,0,49,10,8,高速,中,35,55,Lv99 2014/1/15メンテ後,編集
053a,加古,重巡洋艦,36,34,59,49,49,49,0,39,10,6,高速,中,35,50,Lv99,編集
053b,加古改,重巡洋艦,48,70,75,70,59,59,0,49,10,8,高速,中,35,55,Lv99 2014/1/15メンテ後,編集
054a,青葉,重巡洋艦,37,37,69,54,59,59,0,39,20,6,高速,中,35,50,Lv99,編集
054b,青葉改,重巡洋艦,49,72,80,72,59,59,0,49,30,8,高速,中,35,55,,編集
055a,妙高,重巡洋艦,44,49,69,59,59,64,0,39,10,6,高速,中,40,65,,編集
055b,妙高改,重巡洋艦,55,73,79,76,79,69,0,49,10,8,高速,中,40,70,Lv99 2014/1/15メンテ後,編集
056a,那智,重巡洋艦,44,49,59,54,49,54,0,39,10,6,高速,中,40,65,,編集
056b,那智改,重巡洋艦,55,73,79,76,69,69,0,49,10,8,高速,中,40,70,Lv99 2014/1/15メンテ後,編集
057a,足柄,重巡洋艦,44,49,59,54,49,54,0,39,10,6,高速,中,40,65,,編集
057b,足柄改,重巡洋艦,55,73,79,77,69,69,0,49,10,8,高速,中,40,70,Lv99 2014/1/15メンテ後,編集
058a,羽黒,重巡洋艦,44,49,59,54,49,54,0,39,10,6,高速,中,40,65,,編集
058b,羽黒改,重巡洋艦,55,73,79,77,69,69,0,49,10,8,高速,中,40,70,Lv99 2014/1/15メンテ後,編集
059a,高雄,重巡洋艦,45,49,69,59,59,66,0,39,10,6,高速,中,40,65,,編集
059b,高雄改,重巡洋艦,57,75,80,77,79,69,0,49,10,8,高速,中,40,70,Lv99 2020\9\17メンテ後,編集
060a,愛宕,重巡洋艦,45,49,59,54,59,56,0,39,10,6,高速,中,40,65,,編集
060b,愛宕改,重巡洋艦,57,75,79,77,79,69,0,49,10,8,高速,中,40,70,Lv99 2014/1/15メンテ後,編集
No.▲▼,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,編集
061a,摩耶,重巡洋艦,45,49,59,54,49,56,0,39,10,6,高速,中,40,65,,編集
061b,摩耶改,重巡洋艦,55,75,79,78,69,89,0,49,10,8,高速,中,40,70,Lv99 2014/1/15メンテ後,編集
062a,鳥海,重巡洋艦,45,49,59,54,49,56,0,39,10,6,高速,中,40,65,,編集
062b,鳥海改,重巡洋艦,57,75,79,78,69,69,0,49,10,8,高速,中,40,70,Lv99 2014/1/15メンテ後,編集
063a,利根,重巡洋艦,44,59,69,59,59,67,0,59,10,9,高速,中,45,60,,編集
063b,利根改,重巡洋艦,56,77,79,76,79,79,0,79,10,16,高速,中,45,65,Lv99 2014/1/15メンテ後,編集
064a,筑摩,重巡洋艦,44,59,69,59,59,67,0,59,10,9,高速,中,45,60,,編集
064b,筑摩改,重巡洋艦,56,77,79,76,79,79,0,77,10,16,高速,中,45,65,,編集
065a,飛鷹,軽空母,40,39,54,19,0,59,0,59,10,58,低速,短,40,40,Lv99,編集
065b,飛鷹改,軽空母,50,59,69,29,0,69,0,79,12,66,低速,短,45,45,Lv99,編集
066a,隼鷹,軽空母,40,39,54,19,0,59,0,59,20,58,低速,短,40,40,Lv99,編集
066b,隼鷹改,軽空母,50,59,69,29,0,69,0,79,30,66,低速,短,45,45,Lv99,編集
067a,朧,駆逐艦,15,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
067b,朧改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
068a,曙,駆逐艦,15,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
068b,曙改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
069a,漣,駆逐艦,15,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
069b,漣改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
070a,潮,駆逐艦,15,19,79,29,69,39,49,19,20,0,高速,短,15,20,,編集
070b,潮改,駆逐艦,30,49,89,49,79,49,59,39,20,0,高速,短,15,20,LV99,編集
071a,暁,駆逐艦,15,19,89,29,79,39,49,19,12,0,高速,短,15,20,LV99,編集
071b,暁改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,LV99,編集
072a,響,駆逐艦,15,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
072b,響改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,LV99,編集
073a,雷,駆逐艦,15,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
073b,雷改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
074a,電,駆逐艦,15,19,79,29,69,39,49,19,10,0,高速,短,15,20,Lv99,編集
074b,電改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,LV99,編集
075a,初春,駆逐艦,16,19,89,29,79,39,49,19,12,0,高速,短,15,20,Lv99,編集
075b,初春改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
076a,子日,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
076b,子日改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
077a,若葉,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
077b,若葉改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
078a,初霜,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
078b,初霜改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
079a,白露,駆逐艦,16,19,79,29,79,39,49,19,12,0,高速,短,15,20,,編集
079b,白露改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
080a,時雨,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
080b,時雨改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,LV99,編集
No.▲▼,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,編集
081a,村雨,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
081b,村雨改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv130,編集
082a,夕立,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
082b,夕立改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
083a,五月雨,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,Lv99,編集
083b,五月雨改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
084a,涼風,駆逐艦,16,19,79,29,79,39,49,19,12,0,高速,短,15,20,,編集
084b,涼風改,駆逐艦,30,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
085a,朝潮,駆逐艦,16,19,79,29,79,39,49,19,12,0,高速,短,15,20,,編集
085b,朝潮改,駆逐艦,31,49,89,49,79,49,59,39,12,0,高速,短,15,20,LV99,編集
086a,大潮,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
086b,大潮改,駆逐艦,31,49,89,49,79,49,59,39,12,0,高速,短,15,20,LV99,編集
087a,満潮,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
087b,満潮改,駆逐艦,31,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
088a,荒潮,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
088b,荒潮改,駆逐艦,31,49,89,49,79,49,59,39,12,0,高速,短,15,20,LV99,編集
089a,霰,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
089b,霰改,駆逐艦,31,49,89,49,79,49,59,39,12,0,高速,短,15,20,LV99,編集
090a,霞,駆逐艦,16,19,79,29,69,39,49,19,15,0,高速,短,15,20,,編集
090b,霞改,駆逐艦,31,49,89,49,79,49,59,39,20,0,高速,短,15,20,LV99,編集
091a,陽炎,駆逐艦,16,19,79,29,79,39,49,19,12,0,高速,短,15,20,,編集
091b,陽炎改,駆逐艦,32,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
092a,不知火,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
092b,不知火改,駆逐艦,32,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
093a,黒潮,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
093b,黒潮改,駆逐艦,32,49,89,49,79,49,59,39,12,0,高速,短,15,20,Lv99,編集
094a,祥鳳,軽空母,32,39,49,19,0,29,0,69,10,30,高速,短,35,35,Lv99,編集
094b,祥鳳改,軽空母,45,59,59,29,0,39,0,79,12,48,高速,短,40,40,Lv99,編集
95,千歳改,水上機母艦,41,39,44,29,29,29,0,69,10,24,高速,短,35,40,Lv99,編集
96,千代田改,水上機母艦,41,39,44,29,29,29,0,69,10,24,高速,短,35,40,Lv99,編集
97,大井改,重雷装巡洋艦,32,39,77,39,99,39,59,39,10,0,高速,中,25,50,Lv99,編集
98,北上改,重雷装巡洋艦,32,39,77,39,99,39,59,39,15,0,高速,中,25,50,Lv99,編集
99,千歳甲,水上機母艦,42,39,49,31,73,42,0,69,10,24,高速,短,35,45,Lv99,編集
100,千代田甲,水上機母艦,42,39,49,31,73,42,0,69,10,24,高速,短,35,45,Lv99,編集
No.▲▼,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,編集
101,最上改,航空巡洋艦,50,71,69,75,69,64,0,59,10,27,高速,中,50,55,Lv99,編集
102,伊勢改,航空戦艦,77,92,77,86,0,92,0,60,30,47,低速,長,95,105,Lv99,編集
103,日向改,航空戦艦,77,92,77,86,0,92,0,60,30,47,低速,長,95,105,Lv99,編集
104a,千歳航,軽空母,47,39,67,19,0,49,0,69,10,36,高速,短,40,40,Lv99,編集
104b,千歳航改,軽空母,57,64,69,34,0,69,0,79,12,56,高速,短,45,40,Lv99,編集
105a,千代田航,軽空母,47,39,67,19,0,49,0,69,10,36,高速,短,40,40,Lv99,編集
105b,千代田航改,軽空母,57,64,69,34,0,69,0,79,12,56,高速,短,45,40,Lv99,編集
106a,翔鶴,正規空母,62,49,59,39,0,69,0,69,10,75,高速,短,55,55,Lv99,編集
106b,翔鶴改,正規空母,75,72,79,39,0,79,0,89,12,84,高速,短,65,70,Lv99,編集
107,瑞鶴,正規空母,62,49,69,39,0,69,0,69,40,75,高速,短,55,55,Lv99,編集
108,瑞鶴改,正規空母,75,72,79,39,0,79,0,89,42,84,高速,短,65,70,Lv99,編集
109a,鬼怒,軽巡洋艦,26,29,69,39,79,49,59,39,12,2,高速,中,25,25,,編集
109b,鬼怒改,軽巡洋艦,41,59,79,59,79,59,79,49,12,3,高速,中,25,35,Lv99,編集
110a,阿武隈,軽巡洋艦,27,29,69,39,79,49,59,39,12,2,高速,中,25,25,,編集
110b,阿武隈改,軽巡洋艦,42,59,79,59,79,59,79,49,12,3,高速,中,25,35,Lv99,編集
111a,夕張,軽巡洋艦,19,29,69,42,69,42,39,39,12,0,高速,中,20,30,,編集
111b,夕張改,軽巡洋艦,36,49,69,63,79,69,69,44,17,0,高速,中,25,40,Lv99,編集
112,瑞鳳,軽空母,32,39,49,19,0,29,0,69,30,30,高速,短,35,35,Lv99,編集
113,瑞鳳改,軽空母,45,59,59,29,0,39,0,79,40,48,高速,短,40,40,Lv99,編集
114,大井改二,重雷装巡洋艦,43,63,83,63,139,49,79,43,13,0,高速,中,25,75,Lv99 2014/2/26メンテ後,編集
115,北上改二,重雷装巡洋艦,43,63,83,63,139,49,79,43,30,0,高速,中,25,75,Lv99 2014/2/26メンテ後,編集
116,三隈,重巡洋艦,40,59,62,59,69,59,0,39,5,6,高速,中,40,65,,編集
117,三隈改,航空巡洋艦,50,71,69,77,69,61,0,61,10,26,高速,中,50,55,,編集
118a,初風,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
118b,初風改,駆逐艦,32,49,89,49,79,49,64,39,12,0,高速,短,15,20,,編集
119a,舞風,駆逐艦,16,19,79,29,69,39,49,19,10,0,高速,短,15,20,,編集
119b,舞風改,駆逐艦,32,49,89,49,79,49,72,39,12,0,高速,短,15,20,,編集
120a,衣笠,重巡洋艦,37,37,69,54,59,59,0,39,20,6,高速,中,35,50,Lv99,編集
120b,衣笠改,重巡洋艦,49,64,75,66,59,59,0,49,10,8,高速,中,35,60,Lv99,編集
No.▲▼,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,編集
121,千歳航改二,軽空母,58,65,69,34,0,72,0,79,13,59,高速,短,45,40,Lv99,編集
122,千代田航改二,軽空母,58,65,69,34,0,72,0,79,13,59,高速,短,45,40,LV99,編集
123a,伊19,潜水艦,14,18,36,9,79,0,0,39,12,0,低速,短,10,20,Lv99,編集
123b,伊19改,潜水空母,18,19,49,12,89,0,0,39,13,2,低速,短,10,25,LV99,編集
124,鈴谷,重巡洋艦,40,59,62,59,69,59,0,39,5,6,高速,中,40,65,Lv99,編集
125,熊野,重巡洋艦,40,59,62,59,69,59,0,39,5,6,高速,中,40,65,Lv99,編集
126a,伊168,潜水艦,10,17,39,7,59,0,0,29,10,0,低速,短,10,20,Lv99,編集
126b,伊168改,潜水艦,15,18,49,11,69,0,0,29,10,0,低速,短,10,20,Lv99,編集
127a,伊58,潜水艦,14,19,36,9,69,0,0,39,40,0,低速,短,10,20,Lv99,編集
127b,伊58改,潜水空母,18,19,49,12,84,0,0,39,50,2,低速,短,10,25,LV99,編集
128a,伊8,潜水艦,15,19,37,9,69,0,0,39,20,0,低速,短,10,20,Lv99,編集
128b,伊8改,潜水空母,19,19,49,14,84,0,0,39,25,2,低速,短,10,25,Lv99,編集
129,鈴谷改,航空巡洋艦,50,72,69,75,69,59,0,59,10,22,高速,中,50,55,Lv99,編集
130,熊野改,航空巡洋艦,50,72,69,75,69,59,0,59,10,22,高速,中,50,55,Lv99,編集
131,大和,戦艦,93,108,59,129,0,94,0,39,12,28,低速,超長,250,300,Lv99,編集
132a,秋雲,駆逐艦,16,19,79,29,69,39,49,19,14,0,高速,短,15,20,,編集
132b,秋雲改,駆逐艦,32,49,89,44,79,59,64,39,15,0,高速,短,15,20,Lv99,編集
133a,夕雲,駆逐艦,16,19,80,30,69,39,52,19,12,0,高速,短,15,20,Lv99,編集
133b,夕雲改,駆逐艦,32,49,90,50,80,50,67,42,12,0,高速,短,15,20,LV99,編集
134a,巻雲,駆逐艦,16,19,80,30,69,39,52,19,11,0,高速,短,15,20,,編集
134b,巻雲改,駆逐艦,32,49,90,50,80,50,67,42,12,0,高速,短,15,20,LV99,編集
135a,長波,駆逐艦,16,19,80,30,69,39,52,19,13,0,高速,短,15,20,,編集
135b,長波改,駆逐艦,32,49,90,50,80,50,67,42,14,0,高速,短,15,20,,編集
136,大和改,戦艦,96,118,64,142,0,104,0,39,13,29,低速,超長,250,325,,編集
137a,阿賀野,軽巡洋艦,30,32,72,42,72,60,70,45,10,6,高速,中,30,35,2014/2/26メンテ後,編集
137b,阿賀野改,軽巡洋艦,45,69,80,68,79,73,82,59,10,6,高速,中,30,40,2020/11/13メンテ後,編集
138a,能代,軽巡洋艦,30,32,72,42,72,60,70,45,10,6,高速,中,30,35,2014/2/26メンテ後,編集
138b,能代改,軽巡洋艦,45,69,80,70,79,72,82,59,10,6,高速,中,30,40,2020/11/13メンテ後,編集
139a,矢矧,軽巡洋艦,31,33,72,42,72,63,70,45,13,6,高速,中,30,35,2014/2/26メンテ後,編集
139b,矢矧改,軽巡洋艦,47,69,84,72,79,74,82,59,14,6,高速,中,30,40,Lv99 2020/11/13メンテ後,編集
140a,酒匂,軽巡洋艦,31,32,72,41,71,62,72,45,20,6,高速,中,30,35,,編集
140b,酒匂改,軽巡洋艦,46,69,81,67,78,74,85,59,30,6,高速,中,30,40,,編集
No.▲▼,艦名,艦種,耐久,装甲,回避,火力,雷装,対空,対潜,索敵,運,搭載,速力,射程,燃料,弾薬,備考,編集
141,五十鈴改二,軽巡洋艦,44,69,80,62,79,85,94,59,13,0,高速,短,25,30,,編集
142,衣笠改二,重巡洋艦,53,73,79,78,78,66,0,58,13,8,高速,中,35,65,,編集
143,武蔵,戦艦,94,108,59,129,0,94,0,40,10,28,低速,超長,250,300,LV99,編集
144,夕立改二,駆逐艦,31,52,89,73,93,59,69,49,20,0,高速,短,15,20,LV99,編集
145,時雨改二,駆逐艦,31,52,93,61,89,72,80,48,50,0,高速,短,15,20,,編集
146,木曾改二,重雷装巡洋艦,44,65,85,65,111,72,82,49,13,0,高速,中,25,50,Lv99,編集
147,Верный,駆逐艦,37,58,89,58,89,65,77,44,20,0,高速,短,15,25,Lv99,編集
148,武蔵改,戦艦,97,119,63,139,0,99,0,40,9,28,低速,超長,250,325,Lv99,編集
149,金剛改二,戦艦,82,94,73,98,0,87,0,49,15,12,高速,長,100,125,LV99,編集
150,比叡改二,戦艦,83,95,72,99,0,82,0,52,13,12,高速,長,100,125,Lv99,編集
151,榛名改二,戦艦,81,93,74,96,0,92,0,49,41,12,高速,長,100,125,Lv99,編集
152,霧島改二,戦艦,82,92,72,104,0,82,0,49,14,12,高速,長,100,125,Lv99,編集
153,大鳳,装甲空母,67,79,57,49,0,79,0,74,2,61,高速,短,70,65,LV99,編集
